ORDER_HEAD_LINE_NO,OS_STATUS_CD,CREATED_OBJECT_TYPE,CREATED_OBJECT_ID,CREATED_PROGRAM_ID,CREATION_TIMESTAMP,LAST_UPDATED_OBJECT_TYPE,LAST_UPDATED_OBJECT_ID,LAST_UPDATE_PROGRAM_ID,LAST_UPDATE_TIMESTAMP,DATA_END_STATUS,DATA_END_OBJECT_TYPE,DATA_END_OBJECT_ID,DATA_END_PROGRAM_ID,DATA_END_TIMESTAMP,ARCHIVE_COMPLETED_FLAG,ARCHIVED_EMPLOYEE_NUM,ARCHIVED_TIMESTAMP,ARCHIVE_PROGRAM_ID,OS_PROCESS_STATUS,OS_PROCESS_WGT,GCS_COMP_CODE,PARTITION_KEY
01S5488409450,FBJ,B,PP152101,C400620527,2022/03/14 15:12:22.000000,B,PP152101,C400620527,2022/03/14 15:12:22.000000,,,,,,,,,,2,4369,01,P
01S5476414010,DAH,B,PEEZZ050,C400620527,2022/03/14 15:12:35.000000,B,PEYZZ625,CallSlabOSProgram,2022/03/14 15:20:39.602000,,,,,,,,,,2,6999,01,P
01S5482375020,DAH,B,PEEZZ050,C400620527,2022/03/14 15:12:35.000000,B,PEYZZ625,CallSlabOSProgram,2022/03/14 15:20:39.651000,,,,,,,,,,2,13998,01,P
01S5442391010,PHE,B,PLA14055,C400620527,2022/03/14 15:16:25.000000,B,PLA14055,C400620527,2022/03/14 15:16:25.000000,,,,,,,,,,2,2566,01,P
01S5451840020,FBM,B,ZP108110,C400620527,2022/03/14 15:16:42.000000,B,ZP108110,C400620527,2022/03/14 15:16:42.000000,,,,,,,,,,2,6715,01,P
01S5462714470,FBM,B,ZP108110,C400620527,2022/03/14 15:16:44.000000,B,ZP108110,C400620527,2022/03/14 15:16:44.000000,,,,,,,,,,2,6595,01,P
01S5477124230,PSE,B,PLY17901,C400620527,2022/03/14 15:17:59.000000,B,PLY17901,C400620527,2022/03/14 15:17:59.000000,,,,,,,,,,2,3424,01,P
01S5481349020,FBJ,B,PP152101,C400620527,2022/03/14 15:21:26.000000,B,PP152101,C400620527,2022/03/14 15:21:26.000000,,,,,,,,,,2,2208,01,N
01S5513192010,FBJ,B,PP152101,C400620527,2022/03/14 15:21:27.000000,B,PP152101,C400620527,2022/03/14 15:21:27.000000,,,,,,,,,,2,1052,01,N
01S5402610020,FBM,B,PP101002,C400620527,2022/03/14 15:21:44.000000,B,PP101002,C400620527,2022/03/14 15:21:44.000000,,,,,,,,,,2,2273,01,P
01S5486544010,DBG,B,M2E01P01,C400620527,2022/03/14 15:21:46.000000,B,PEEZZ050,CallSlabOSProgram,2022/03/14 15:21:47.706000,,,,,,,,,,2,0,01,P
01S5486544020,DBG,B,M2E01P01,C400620527,2022/03/14 15:21:46.000000,B,PEEZZ050,CallSlabOSProgram,2022/03/14 15:21:47.770000,,,,,,,,,,2,0,01,P
01S5486544110,DBG,B,M2E01P01,C400620527,2022/03/14 15:21:46.000000,B,PEEZZ050,CallSlabOSProgram,2022/03/14 15:21:47.826000,,,,,,,,,,2,0,01,P
01S5486544130,DBG,B,M2E01P01,C400620527,2022/03/14 15:21:46.000000,B,PEEZZ050,CallSlabOSProgram,2022/03/14 15:21:47.882000,,,,,,,,,,2,0,01,P
01S5402665020,FBM,B,PP101002,C400620527,2022/03/14 15:21:46.000000,B,PP101002,C400620527,2022/03/14 15:21:46.000000,,,,,,,,,,2,2653,01,P
01S5472769150,PPE,B,PLA4009R,C400620527,2022/03/14 15:18:27.000000,B,PLC14052,CallPlateOSProgram,2022/03/14 15:22:20.955000,,,,,,,,,,2,0,01,P
01S5472766010,PPE,B,PLA4009R,C400620527,2022/03/14 15:18:47.000000,B,PLC14052,CallPlateOSProgram,2022/03/14 15:22:21.689000,,,,,,,,,,2,0,01,P
01S5414345030,DBG,B,M2E01P01,C400620527,2022/03/14 15:00:23.000000,B,PEEZZ050,CallSlabOSProgram,2022/03/14 15:00:36.582000,,,,,,,,,,2,0,01,P
01S5296626070,FCY,B,H6C40104,C400620527,2022/03/14 15:01:58.000000,B,H6C40126_01,CallProductOSProgram,2022/03/14 15:03:23.706000,,,,,,,,,,2,3917,01,P
01S5488409410,FBJ,B,PP152101,C400620527,2022/03/14 15:11:43.000000,B,PP152101,C400620527,2022/03/14 15:11:43.000000,,,,,,,,,,2,2576,01,P
01S5470610710,FBJ,B,PP152101,C400620527,2022/03/14 15:12:00.000000,B,PP152101,C400620527,2022/03/14 15:12:00.000000,,,,,,,,,,2,3388,01,P
01S5488429880,FBJ,B,PP152101,C400620527,2022/03/14 15:12:00.000000,B,PP152101,C400620527,2022/03/14 15:12:00.000000,,,,,,,,,,2,4166,01,P
01S5467967490,FBM,B,KP101002,C400620527,2022/03/14 15:12:01.000000,B,KP101002,C400620527,2022/03/14 15:12:01.000000,,,,,,,,,,2,2930,01,L
01S5457471220,FBJ,B,PP152101,C400620527,2022/03/14 15:12:03.000000,B,PP152101,C400620527,2022/03/14 15:12:03.000000,,,,,,,,,,2,2357,01,P
01S5470682340,FBJ,B,PP152101,C400620527,2022/03/14 15:12:05.000000,B,PP152101,CallProductOSProgram,2022/03/14 15:12:21.186000,,,,,,,,,,2,4232,01,P
01S5488429970,FBJ,B,PP152101,C400620527,2022/03/14 15:12:13.000000,B,PP152101,C400620527,2022/03/14 15:12:13.000000,,,,,,,,,,2,7382,01,P
01S5459971130,FBJ,B,PP152101,C400620527,2022/03/14 15:12:13.000000,B,PP152101,C400620527,2022/03/14 15:12:13.000000,,,,,,,,,,2,1295,01,P
